YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COTTON_EQUIVALENT_TONNES
2016,ARGENTINA,BAHIA BLANCA,ALFALFA Y FORRAJE DE LA PATAGONIA S A,ALFALFA Y FORRAJE DE LA PATAGONIA S A,BRAZIL,BRAZIL,Cotton equivalents,102163.8,498.36
2013,ARGENTINA,BAHIA BLANCA,ALFALFA Y FORRAJE DE LA PATAGONIA S A,ALFALFA Y FORRAJE DE LA PATAGONIA S A,SPAIN,EUROPEAN UNION,Cotton equivalents,20033.2,91.06
2013,ARGENTINA,BAHIA BLANCA,COINGRA S A,COINGRA S A,CHILE,CHILE,Cotton equivalents,53087.4,196.62
2014,ARGENTINA,BAHIA BLANCA,COINGRA S A,COINGRA S A,CHILE,CHILE,Cotton equivalents,385216.25,1825.88
2015,ARGENTINA,BAHIA BLANCA,COINGRA S A,COINGRA S A,CHILE,CHILE,Cotton equivalents,10066,100.66
2014,ARGENTINA,BAHIA BLANCA,UNKNOWN,UNKNOWN,CHILE,CHILE,Cotton equivalents,33915,173.202898550725
2016,ARGENTINA,BARRANQUERAS,UNKNOWN,UNKNOWN,BRAZIL,BRAZIL,Cotton equivalents,12510.59,150.73
2017,ARGENTINA,BARRANQUERAS,UNKNOWN,UNKNOWN,BRAZIL,BRAZIL,Cotton equivalents,2625,25
2017,ARGENTINA,BERNARDO DE YRIGOYEN,MINERA DEL NORTE S A,MINERA DEL NORTE S A,BRAZIL,BRAZIL,Cotton equivalents,6868,74
2018,ARGENTINA,BUENOS AIRES,AGROGANADERA MARTIN HERMANOS SA,AGROGANADERA MARTIN HERMANOS SA,TAIWAN,TAIWAN,Cotton equivalents,350540,200
2016,ARGENTINA,BUENOS AIRES,AGROMALVA S R L,AGROMALVA S R L,COLOMBIA,COLOMBIA,Cotton equivalents,63223.52,44.12
2018,ARGENTINA,BUENOS AIRES,AGROMALVA S R L,AGROMALVA S R L,INDONESIA,INDONESIA,Cotton equivalents,67791.5,50
2017,ARGENTINA,BUENOS AIRES,AGROMALVA S R L,AGROMALVA S R L,VIETNAM,VIETNAM,Cotton equivalents,32571.86,22.73
2018,ARGENTINA,BUENOS AIRES,AGRONAT S A,AGRONAT S A,THAILAND,THAILAND,Cotton equivalents,18157.11,14.2
2018,ARGENTINA,BUENOS AIRES,AGRONAT S A,AGRONAT S A,VIETNAM,VIETNAM,Cotton equivalents,283566.5,175
2013,ARGENTINA,BUENOS AIRES,ALFATRADE S.A.,ALFATRADE S.A.,CHINA (HONG KONG),CHINA (HONG KONG),Cotton equivalents,600093.27,406.27
