YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB,SHRIMP_EQUIVALENT_TONNES
2014,ARGENTINA,BAHIA BLANCA,ARGENOVA SA.,ARGENOVA SA.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,703308,98.292
2014,ARGENTINA,BAHIA BLANCA,ARGENOVA SA.,ARGENOVA SA.,JAPAN,JAPAN,Shrimp equivalents,522057.6,62.388
2014,ARGENTINA,BAHIA BLANCA,ARGENOVA SA.,ARGENOVA SA.,SPAIN,EUROPEAN UNION,Shrimp equivalents,1491830.4,225.312
2017,ARGENTINA,BAHIA BLANCA,WHITE GULF S A,WHITE GULF S A,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,116688,22.44
2013,ARGENTINA,BAHIA BLANCA,WHITE GULF S A,WHITE GULF S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,6120,3.06
2015,ARGENTINA,BAHIA BLANCA,WHITE GULF S A,WHITE GULF S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,43900,7.13349436392915
2017,ARGENTINA,BAHIA BLANCA,WHITE GULF S A,WHITE GULF S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,144430,52.52
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,COLOMBIA,COLOMBIA,Shrimp equivalents,172800,24
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,DENMARK,EUROPEAN UNION,Shrimp equivalents,308568,45.7954285714286
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,GERMANY,EUROPEAN UNION,Shrimp equivalents,856872,119.292
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,ITALY,EUROPEAN UNION,Shrimp equivalents,180000,24
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,MOROCCO,MOROCCO,Shrimp equivalents,156078,24.012
2013,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,NETHERLANDS ANTILLES,NETHERLANDS ANTILLES,Shrimp equivalents,734.4,0.108
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,SINGAPORE,SINGAPORE,Shrimp equivalents,391266,60.012
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,THAILAND,THAILAND,Shrimp equivalents,142272,23.712
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,UNITED STATES,UNITED STATES,Shrimp equivalents,93672,15.348
2014,ARGENTINA,BUENOS AIRES,CONGELADOS DEL MAR S A,CONGELADOS DEL MAR S A,URUGUAY,URUGUAY,Shrimp equivalents,35997,7.152
2015,ARGENTINA,BUENOS AIRES SUR,AGRO PATAGONICO SA,AGRO PATAGONICO SA,UNITED STATES,UNITED STATES,Shrimp equivalents,119092.48,18.32192
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,URUGUAY,URUGUAY,Shrimp equivalents,94248,16.123
2014,ARGENTINA,BUENOS AIRES,YUKEN S.A.,YUKEN S.A.,ITALY,EUROPEAN UNION,Shrimp equivalents,300150,48.024
