YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,WOOD_PULP_EQUIVALENT_TONNES
2013,ARGENTINA,BERNARDO DE YRIGOYEN,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,4544031.42,6105.70799999999
2014,ARGENTINA,BERNARDO DE YRIGOYEN,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,7714325.85,10482.952
2015,ARGENTINA,BERNARDO DE YRIGOYEN,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,2286660.62,2939.511
2016,ARGENTINA,BERNARDO DE YRIGOYEN,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,674352.43,987.322
2017,ARGENTINA,BERNARDO DE YRIGOYEN,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,2597648.2,3904.58
2018,ARGENTINA,BERNARDO DE YRIGOYEN,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,6053007.16,8065.237
2014,ARGENTINA,BERNARDO DE YRIGOYEN,UNKNOWN,UNKNOWN,BRAZIL,BRAZIL,Wood pulp equivalents,149953.88,198.622
2013,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,178083.47,254.185
2016,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,140918.72,265.212
2013,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (HONG KONG),CHINA (HONG KONG),Wood pulp equivalents,2674493.31,4169.958
2014,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (HONG KONG),CHINA (HONG KONG),Wood pulp equivalents,520535.38,751.114
2016,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (HONG KONG),CHINA (HONG KONG),Wood pulp equivalents,5245689.6,9801.189
2017,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (HONG KONG),CHINA (HONG KONG),Wood pulp equivalents,5483489.35,9377.562
2013,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,7374833.2,11207.633
2014,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,340336.21,491.257
2016,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,5902326.61,10943.9305485683
2017,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,22531410.47,37624.1178482351
2018,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,50279915.26,61855.923
2017,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,IRAN,IRAN,Wood pulp equivalents,1047427.84,1419.756
2017,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,ITALY,EUROPEAN UNION,Wood pulp equivalents,1954844.54,2718.017
2017,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,MEXICO,MEXICO,Wood pulp equivalents,9781.99,21.3435
2017,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,MOROCCO,MOROCCO,Wood pulp equivalents,675057.01,956.63
2016,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,SINGAPORE,SINGAPORE,Wood pulp equivalents,2874706.72,5372.477
2017,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,SINGAPORE,SINGAPORE,Wood pulp equivalents,2243633.5,3786.552
2013,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,SOUTH AFRICA,SOUTH AFRICA,Wood pulp equivalents,176319.25,251.788
2018,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,SOUTH AFRICA,SOUTH AFRICA,Wood pulp equivalents,428244.36,492.362
2016,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,SOUTH KOREA,SOUTH KOREA,Wood pulp equivalents,2219001.67,4145.347
2017,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,SOUTH KOREA,SOUTH KOREA,Wood pulp equivalents,6324463.45,10983.66
2017,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,SPAIN,EUROPEAN UNION,Wood pulp equivalents,1640327.28,2705.41152409734
2017,ARGENTINA,BUENOS AIRES,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,TURKEY,TURKEY,Wood pulp equivalents,630428.53,911.558
2016,ARGENTINA,BUENOS AIRES,LA PAPELERA DEL PLATA SA.,LA PAPELERA DEL PLATA SA.,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,1883066.52,3476.012
2017,ARGENTINA,BUENOS AIRES,LA PAPELERA DEL PLATA SA.,LA PAPELERA DEL PLATA SA.,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,9267021.36,15690.668
2015,ARGENTINA,BUENOS AIRES NORTE,ALGODONERA ACONCAGUA SA.,ALGODONERA ACONCAGUA SA.,COLOMBIA,COLOMBIA,Wood pulp equivalents,462.15,0.711
2015,ARGENTINA,BUENOS AIRES NORTE,LA PAPELERA DEL PLATA SA.,LA PAPELERA DEL PLATA SA.,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,17938,20.02
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,ITALY,EUROPEAN UNION,Wood pulp equivalents,2221.7,3.418
2013,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,670170.84,1010.823
2016,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,1013888.18,1900.38
2017,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,324157.09,547.903
2017,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,IRAN,IRAN,Wood pulp equivalents,646164.04,931.719258490242
2017,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,JORDAN,JORDAN,Wood pulp equivalents,48369.59,73.687
2017,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,NIGERIA,NIGERIA,Wood pulp equivalents,313630.56,506.091524097335
2017,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,SINGAPORE,SINGAPORE,Wood pulp equivalents,134234.08,215.413
2013,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,SOUTH AFRICA,SOUTH AFRICA,Wood pulp equivalents,462770.35,711.74
2017,ARGENTINA,BUENOS AIRES,UNKNOWN,UNKNOWN,TURKEY,TURKEY,Wood pulp equivalents,230459.44,327.733
2013,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,2076194.28,3139.874
2014,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,514370.05,713.278
2015,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,98777.02,109.180110093092
2016,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,6512198.21,12247.044
2017,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,BRAZIL,BRAZIL,Wood pulp equivalents,6260579.16,10679.351
2013,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,1363892.26,2037.239
2015,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,13478.1,14.861
2016,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,4227340.74,7898.20947704502
2017,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,10803199.68,18297.9130601069
2018,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,12259200.25,15084.378
2014,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,COLOMBIA,COLOMBIA,Wood pulp equivalents,122013.37,130.362
2015,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,PANAMA,PANAMA,Wood pulp equivalents,97901.87,104.053
2013,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,SOUTH AFRICA,SOUTH AFRICA,Wood pulp equivalents,174728.2,257.099
2013,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,Wood pulp equivalents,5029952.75,7733.377
2014,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,Wood pulp equivalents,172051.34,249.009
2017,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,TUNISIA,TUNISIA,Wood pulp equivalents,206105.62,324.3
2017,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,TURKEY,TURKEY,Wood pulp equivalents,228192.12,324.854
2015,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,UNITED STATES,UNITED STATES,Wood pulp equivalents,24208.5,32.57
2013,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,URUGUAY,URUGUAY,Wood pulp equivalents,799713.07,1275.815
2016,ARGENTINA,CAMPANA,ALTO PARANA SOCIEDAD ANONIMA X,ALTO PARANA SOCIEDAD ANONIMA X,URUGUAY,URUGUAY,Wood pulp equivalents,558118.32,1087.683
2013,ARGENTINA,CAMPANA,LA PAPELERA DEL PLATA SA.,LA PAPELERA DEL PLATA SA.,URUGUAY,URUGUAY,Wood pulp equivalents,83628.12,97.242
