YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,TYPE,FOB_USD,SOY_EQUIVALENT_TONNES
2013,BOLIVIA,AEROPUERTO VIRU-VIRU,ADM SAO PERU,ADM SAO PERU,ADM JAPAN LTD,ADM JAPAN LTD,MYANMAR,Soy bean equivalents,10,0.00204
2014,BOLIVIA,AEROPUERTO VIRU-VIRU,ADM SAO PERU,ADM SAO PERU,ADM JAPAN LTD,ADM JAPAN LTD,MYANMAR,Soy bean equivalents,10,0.0051
2014,BOLIVIA,FRONTERA ARROYO CONCEPCION,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,PANTAGRO CORUMBA PROD AGROPEC LTDA,PANTAGRO CORUMBA PROD AGROPEC LTDA,UNKNOWN COUNTRY,Soy bean equivalents,12150,27.54
2013,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,ADM ANDINA PERU SRL,ADM ANDINA PERU SRL,CAMEROON,Soy bean equivalents,10410343.77,23537.13648
2014,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,ADM ANDINA PERU SRL,ADM ANDINA PERU SRL,CAMEROON,Soy bean equivalents,5162935.68,11616.729
2013,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,ADM SAO PERU,ADM SAO PERU,CAMEROON,Soy bean equivalents,205781.41,203.1024
2014,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,ADM SAO PERU,ADM SAO PERU,CAMEROON,Soy bean equivalents,546308.59,559.1436
2013,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,AGROGRAIN LTD,AGROGRAIN,UNKNOWN COUNTRY,Soy bean equivalents,36066284.35,43709.43882
2014,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,AGROGRAIN LTD,AGROGRAIN,UNKNOWN COUNTRY,Soy bean equivalents,1794505.92,2310.0654
2014,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,AGROGRAIN LTD SUCURSAL URUGUAY,AGROGRAIN,UNKNOWN COUNTRY,Soy bean equivalents,26072040.26,37723.65552
2013,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,CORPORACION SANTA CLARA SAC,CORPORACION SANTA CLARA SAC,CAMEROON,Soy bean equivalents,879750.71,573.36852
2014,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,CORPORACION SANTA CLARA SAC,CORPORACION SANTA CLARA SAC,CAMEROON,Soy bean equivalents,99728.19,70.94304
2013,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,GRUPO CAZA S A C,GRUPO CAZA S A C,CAMEROON,Soy bean equivalents,1275166.96,901.6341
2014,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,GRUPO CAZA S A C,GRUPO CAZA S A C,CAMEROON,Soy bean equivalents,439308.44,334.15914
2013,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,MODERNA ALIMENTOS SA,MODERNA ALIMENTOS SA,UNKNOWN COUNTRY,Soy bean equivalents,490813.58,329.55894
2013,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,OLIOJOYA INDUSTRIA ACEITERA CIA LTD,OLIOJOYA INDUSTRIA ACEITERA CIA LTD,UNKNOWN COUNTRY,Soy bean equivalents,24042.33,19.023
2014,BOLIVIA,FRONTERA DESAGUADERO,ADM SAO PERU,ADM SAO PERU,OLIOJOYA INDUSTRIA ACEITERA CIA LTD,OLIOJOYA INDUSTRIA ACEITERA CIA LTD,UNKNOWN COUNTRY,Soy bean equivalents,22873.22,20.9304
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROINDUSTRIA CAICO S A,AGROINDUSTRIA CAICO S A,AG COM PERUANA COMAGRO E I R L,AG COM PERUANA COMAGRO E I R L,CAMEROON,Soy bean equivalents,205325,468.69
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROINDUSTRIA CAICO S A,AGROINDUSTRIA CAICO S A,ALIMENTOS Y SERVICIOS AGROPECUARIOS,ALIMENTOS Y SERVICIOS AGROPECUARIOS,CAMEROON,Soy bean equivalents,630907.5,1421.37
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROINDUSTRIA CAICO S A,AGROINDUSTRIA CAICO S A,INVERSIONES HEREIN SAC,INVERSIONES HEREIN SAC,CAMEROON,Soy bean equivalents,262160,591.6
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROINDUSTRIA CAICO S A,AGROINDUSTRIA CAICO S A,INVERSIONES YAZMIL S R L,INVERSIONES YAZMIL S R L,CAMEROON,Soy bean equivalents,54600,122.4
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROINDUSTRIA CAICO S A,AGROINDUSTRIA CAICO S A,MOLINORTE SAC,MOLINORTE SAC,CAMEROON,Soy bean equivalents,68150,147.9
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROINDUSTRIA CAICO S A,AGROINDUSTRIA CAICO S A,NOR ALIMENTOS SRL,NOR ALIMENTOS SRL,CAMEROON,Soy bean equivalents,211120,473.28
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROINDUSTRIA CAICO S A,AGROINDUSTRIA CAICO S A,NUTRICION GONZALES SAC,NUTRICION GONZALES SAC,CAMEROON,Soy bean equivalents,55100,118.32
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROINDUSTRIA CAICO S A,AGROINDUSTRIA CAICO S A,RIOS SAC,RIOS SAC,CAMEROON,Soy bean equivalents,497977.5,1121.49
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROINDUSTRIA CAICO S A,AGROINDUSTRIA CAICO S A,TRADING SEMILLA S A C,TRADING SEMILLA S A C,CAMEROON,Soy bean equivalents,167765,384.54
