YEAR,COUNTRY OF PRODUCTION,BIOME,STATE,MUNICIPALITY,LOGISTICS HUB,PORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,LAND_USE_HA,COCOA_EQUIVALENT_TONNES,TRASE_GEOCODE,PRODUCT_DESCR,ZERO_DEFORESTATION_BRAZIL_COCOA
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,CHUI,BARRY CALLEBAUT,BARRY CALLEBAUT,UNKNOWN,UNKNOWN,URUGUAY,URUGUAY,Cocoa equivalents,182977.035103814,19.9270730902123,15.310392069166,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,CHUI,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,URUGUAY,URUGUAY,Cocoa equivalents,141138.104578911,41.6539624666573,32.0036210893456,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,CORUMBA,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,BOLIVIA,BOLIVIA,Cocoa equivalents,185638.115497163,49.8249204781131,38.281541091432,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,FOZ DO IGUACU,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,PARAGUAY,PARAGUAY,Cocoa equivalents,41859.7563077781,10.5431716276848,8.10054193817596,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,RIO DE JANEIRO,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,CHINA (MAINLAND),CHINA (MAINLAND),Cocoa equivalents,11502.7969339685,2.83400453352169,2.1774256729817,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,RIO DE JANEIRO,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,55272.5201667804,13.9260115034572,10.6996494222913,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,RIO GRANDE,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,CHILE,CHILE,Cocoa equivalents,14831.8228028064,3.79554178596655,2.91619509774335,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,BARRY CALLEBAUT,BARRY CALLEBAUT,UNKNOWN,UNKNOWN,ARGENTINA,ARGENTINA,Cocoa equivalents,2281648.80367942,320.427335290614,246.19110447219,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,BARRY CALLEBAUT,BARRY CALLEBAUT,UNKNOWN,UNKNOWN,COSTA RICA,COSTA RICA,Cocoa equivalents,204725.430824886,23.9124877082547,18.3724704829992,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,BARRY CALLEBAUT,BARRY CALLEBAUT,UNKNOWN,UNKNOWN,MEXICO,MEXICO,Cocoa equivalents,2028205.36912773,262.240281867194,201.484759630225,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,BARRY CALLEBAUT,BARRY CALLEBAUT,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Cocoa equivalents,2773639.74381541,398.541461804246,306.207841383321,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,ARGENTINA,ARGENTINA,Cocoa equivalents,131743.666045928,35.7202654745963,27.4446360865402,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,CANADA,CANADA,Cocoa equivalents,45315.0216940615,12.9264344877797,9.93165324221676,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,COLOMBIA,COLOMBIA,Cocoa equivalents,21059.9207028225,5.06072238128872,3.88826013032446,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Cocoa equivalents,14379.0507762193,4.21726865107394,3.24021677527039,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,ECUADOR,ECUADOR,Cocoa equivalents,5160.92500860616,1.26518059532218,0.972065032581116,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,JAMAICA,JAMAICA,Cocoa equivalents,10565.2440324379,2.50084031008685,1.92144854773534,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,MEXICO,MEXICO,Cocoa equivalents,228426.550966333,63.8599905488871,49.0649825195318,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,3296108.52011576,1316.87136202649,1011.78014282415,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,PHILIPPINES,PHILIPPINES,Cocoa equivalents,3406.88237457626,0.843453730214788,0.648043355054077,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,7181.91932513386,1.68336495476268,1.29336492801693,BR-1500602,"",None
2015,BRAZIL,AMAZONIA,PARA,ALTAMIRA,ILHEUS,SALVADOR,CARGILL AGRICOLA SA,CARGILL,UNKNOWN,UNKNOWN,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,Cocoa equivalents,4262.67009911711,1.34952596834366,1.03686936808652,BR-1500602,"",None
