YEAR,COUNTRY OF PRODUCTION,BIOME,STATE,MUNICIPALITY,LOGISTICS HUB,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,ECONOMIC BLOC,COUNTRY,TYPE,FOB_USD,LAND_USE_HA,COTTON_EQUIVALENT_TONNES,TRASE_GEOCODE
2015,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA,PARANAGUA,PAULO SERGIO DE AGUIAR,PAULO SERGIO DE AGUIAR,OLAM,OLAM,INDONESIA,INDONESIA,Cotton equivalents,200109,33.0564510229859,138.824702,BR-5101852
2015,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA,PARANAGUA,PAULO SERGIO DE AGUIAR,PAULO SERGIO DE AGUIAR,OLAM,OLAM,MALAYSIA,MALAYSIA,Cotton equivalents,257300,42.5040647725954,178.501138,BR-5101852
2015,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA,SANTOS,PAULO SERGIO DE AGUIAR,PAULO SERGIO DE AGUIAR,GLENCORE AGRICULTURE,GLENCORE,INDIA,INDIA,Cotton equivalents,718355,118.666464433876,498.3546646,BR-5101852
2015,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA,SANTOS,PAULO SERGIO DE AGUIAR,PAULO SERGIO DE AGUIAR,GLENCORE AGRICULTURE,GLENCORE,INDONESIA,INDONESIA,Cotton equivalents,79195,13.0823702752957,54.9410508,BR-5101852
2015,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA,SANTOS,PAULO SERGIO DE AGUIAR,PAULO SERGIO DE AGUIAR,GLENCORE AGRICULTURE,GLENCORE,JAPAN,JAPAN,Cotton equivalents,39960,6.60109310395001,27.7221164,BR-5101852
2015,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA,SANTOS,PAULO SERGIO DE AGUIAR,PAULO SERGIO DE AGUIAR,GLENCORE AGRICULTURE,GLENCORE,VIETNAM,VIETNAM,Cotton equivalents,697526,113.608957440393,477.1150312,BR-5101852
2015,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA,SANTOS,PAULO SERGIO DE AGUIAR,PAULO SERGIO DE AGUIAR,OLAM,OLAM,BANGLADESH,BANGLADESH,Cotton equivalents,315609,52.1359911164026,218.9516178,BR-5101852
2016,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA,SANTOS,PAULO SERGIO DE AGUIAR,PAULO SERGIO DE AGUIAR,OTTO STADTLANDER GMBH,OTTO STADTLANDER GMBH,SOUTH KOREA,SOUTH KOREA,Cotton equivalents,417141,71.0806962738613,301.5494784,BR-5101852
2016,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA,SANTOS,PAULO SERGIO DE AGUIAR,PAULO SERGIO DE AGUIAR,OTTO STADTLANDER GMBH,OTTO STADTLANDER GMBH,VIETNAM,VIETNAM,Cotton equivalents,1364686,232.441881671262,986.1007538,BR-5101852
2015,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA,SANTOS,PAULO SERGIO DE AGUIAR,PAULO SERGIO DE AGUIAR,UNKNOWN,UNKNOWN,SOUTH KOREA,SOUTH KOREA,Cotton equivalents,116971,126.888896540728,532.885797,BR-5101852
2015,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA,SANTOS,PAULO SERGIO DE AGUIAR,PAULO SERGIO DE AGUIAR,VICUNHA URUGUAY S.A.,VICUNHA URUGUAY S.A.,TURKEY,TURKEY,Cotton equivalents,1116201,198.571200032671,833.9245992,BR-5101852
2016,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,BOM JESUS DO ARAGUAIA,SANTOS,PAULO SERGIO DE AGUIAR,PAULO SERGIO DE AGUIAR,VIOLAR S.A.,VIOLAR S.A.,VIETNAM,VIETNAM,Cotton equivalents,766746,125.384507009328,531.9254688,BR-5101852
2016,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,SAO FELIX DO ARAGUAIA,SANTOS,WALTER SCHALTTER E OUTROS,WALTER SCHALTTER E OUTROS,CDI COTTON,CDI COTTON,INDONESIA,INDONESIA,Cotton equivalents,146388,25.0103793346587,106.1028836,BR-5101852
2016,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,SAO FELIX DO ARAGUAIA,SANTOS,WALTER SCHALTTER E OUTROS,WALTER SCHALTTER E OUTROS,PAUL REINHART,PAUL REINHART,BANGLADESH,BANGLADESH,Cotton equivalents,85955,14.6308170272856,62.0691056,BR-5101852
2016,BRAZIL,AMAZONIA,MATO GROSSO,BOM JESUS DO ARAGUAIA,SAO FELIX DO ARAGUAIA,SANTOS,WALTER SCHALTTER E OUTROS,WALTER SCHALTTER E OUTROS,PAUL REINHART,PAUL REINHART,INDONESIA,INDONESIA,Cotton equivalents,800760,140.8988360142,597.742745,BR-5101852
