YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,SUGARCANE_EQUIVALENT_TONNES
2017,BRAZIL,AEROPORTO INTERNACIONAL DE VIRACOPOS,HONDA TRADING BRASIL LTDA,HONDA TRADING BRASIL LTDA,JAPAN,JAPAN,Sugarcane equivalents,4450,0.62216349
2017,BRAZIL,AEROPORTO INTERNACIONAL DE VIRACOPOS,RAIZEN ENERGIA S.A,RAIZEN ENERGIA S.A,JAPAN,JAPAN,Sugarcane equivalents,140,0.380385
2017,BRAZIL,ASSIS BRASIL,USINAS ITAMARATI,USINAS ITAMARATI,PERU,PERU,Sugarcane equivalents,713376,10224.7488
2015,BRAZIL,BAGE,E D & F MAN BRASIL S/A.,E D & F MAN BRASIL S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,750806,20244.0897
2016,BRAZIL,BAGE,E D & F MAN BRASIL S/A.,E D & F MAN BRASIL S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,1024822,21978.6453
2017,BRAZIL,BAGE,E D & F MAN BRASIL S/A.,E D & F MAN BRASIL S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,1124382,23416.5006
2016,BRAZIL,BAGE,MARIA ELISABETE MACHADO DA SILVA,MARIA ELISABETE MACHADO DA SILVA,URUGUAY,URUGUAY,Sugarcane equivalents,164964,1762.171551
2017,BRAZIL,BAGE,MARIA ELISABETE MACHADO DA SILVA,MARIA ELISABETE MACHADO DA SILVA,URUGUAY,URUGUAY,Sugarcane equivalents,64713,639.0468
2017,BRAZIL,BAGE,NARDINI AGROINDUSTRIAL,NARDINI AGROINDUSTRIAL,URUGUAY,URUGUAY,Sugarcane equivalents,418512,8627.1318
2017,BRAZIL,BAGE,USINA ALTA MOGIANA S/A-ACUCAR E ALCOOL,USINA ALTA MOGIANA S/A-ACUCAR E ALCOOL,URUGUAY,URUGUAY,Sugarcane equivalents,463530,7600.0923
2015,BRAZIL,BAGE,USINA SANTA FE S/A.,USINA SANTA FE S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,415451,12735.2898
2016,BRAZIL,BAGE,USINA SANTA FE S/A.,USINA SANTA FE S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,1358053,31427.4087
2017,BRAZIL,BAGE,USINA SANTA FE S/A.,USINA SANTA FE S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,213602,4929.7896
2017,BRAZIL,BONFIM,MERCANTIL NOVA ERA LTDA,MERCANTIL NOVA ERA LTDA,GUYANA,GUYANA,Sugarcane equivalents,840,11.41155
2017,BRAZIL,BONFIM,RICCA COMERCIO LTDA - EPP,RICCA COMERCIO LTDA - EPP,GUYANA,GUYANA,Sugarcane equivalents,937,11.41155
2015,BRAZIL,BRASILEIA,M P ROCA IMPORTACAO E EXPORTACAO - ME,M P ROCA IMPORTACAO E EXPORTACAO - ME,BOLIVIA,BOLIVIA,Sugarcane equivalents,32935,563.274108
2016,BRAZIL,BRASILEIA,N CHAMI IMP E EXP EIRELI - EPP,N CHAMI IMP E EXP EIRELI - EPP,BOLIVIA,BOLIVIA,Sugarcane equivalents,324210,3118.091922
2017,BRAZIL,BRASILEIA,N CHAMI IMP E EXP EIRELI - EPP,N CHAMI IMP E EXP EIRELI - EPP,BOLIVIA,BOLIVIA,Sugarcane equivalents,618547,6759.289296
2015,BRAZIL,BRASILEIA,N. CHAMI IMP. E EXP. - EPP,N. CHAMI IMP. E EXP. - EPP,BOLIVIA,BOLIVIA,Sugarcane equivalents,614681,9822.605778
2016,BRAZIL,BRASILEIA,N. CHAMI IMP. E EXP. - EPP,N. CHAMI IMP. E EXP. - EPP,BOLIVIA,BOLIVIA,Sugarcane equivalents,660515,7653.498354
2015,BRAZIL,BRASILEIA,RARO DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA - EPP,RARO DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA - EPP,BOLIVIA,BOLIVIA,Sugarcane equivalents,62334,844.911162
2015,BRAZIL,CACERES,COMERCIAL ZAMBI DE PRODUTOS ALIMENTICIOS LTDA - ME,COMERCIAL ZAMBI DE PRODUTOS ALIMENTICIOS LTDA - ME,BOLIVIA,BOLIVIA,Sugarcane equivalents,3013,74.022921
2015,BRAZIL,CAMPINAS,IFF ESSENCIAS E FRAGRANCIAS LTDA,IFF ESSENCIAS E FRAGRANCIAS LTDA,JAPAN,JAPAN,Sugarcane equivalents,988,0.09
2016,BRAZIL,CAMPINAS,ODEBRECHT SERVICOS DE EXPORTACAO S.A,ODEBRECHT SERVICOS DE EXPORTACAO S.A,ANGOLA,ANGOLA,Sugarcane equivalents,9,0.0152154
2015,BRAZIL,CAMPINAS,RAIZEN ENERGIA S.A,RAIZEN ENERGIA S.A,JAPAN,JAPAN,Sugarcane equivalents,267,0.380385
2017,BRAZIL,CHUI,AKILA TRADING EXPORTADORA E IMPORTADORA,AKILA TRADING EXPORTADORA E IMPORTADORA,URUGUAY,URUGUAY,Sugarcane equivalents,77754,1704.1248
2015,BRAZIL,CHUI,ARCO IRIS BRASIL IND COM DE PRODUTOS ALIMENTICIOS LTDA,ARCO IRIS BRASIL IND COM DE PRODUTOS ALIMENTICIOS LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,827,1.2476628
2017,BRAZIL,CHUI,BIOETAL COMERCIO E TRANSPORTES LTDA - ME,BIOETAL COMERCIO E TRANSPORTES LTDA - ME,URUGUAY,URUGUAY,Sugarcane equivalents,35713,770.2064948
2017,BRAZIL,CHUI,BIOSEV BIOENERGIA SA,LOUIS DREYFUS,URUGUAY,URUGUAY,Sugarcane equivalents,104312,2034.3150832
2015,BRAZIL,CHUI,CANEX EXPORTACAO LTDA,CANEX EXPORTACAO LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,36775,1027.0395
2015,BRAZIL,CHUI,"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A",URUGUAY,URUGUAY,Sugarcane equivalents,231980,4313.5659
2016,BRAZIL,CHUI,"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A",URUGUAY,URUGUAY,Sugarcane equivalents,184310,3867.75468
2016,BRAZIL,CHUI,DACOLONIA ALIMENTOS NATURAIS LTDA.,DACOLONIA ALIMENTOS NATURAIS LTDA.,URUGUAY,URUGUAY,Sugarcane equivalents,1189,3.88285
