YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,WOOD_PULP_EQUIVALENT_TONNES
2017,BRAZIL,AEROPORTO INTERNACIONAL DE VIRACOPOS,BAHIA SPECIALTY CELLULOSE SA,BAHIA SPECIALTY CELLULOSE SA,JAPAN,JAPAN,Wood pulp equivalents,2529,4.688
2015,BRAZIL,ALMEIRIM,"JARI CELULOSE, PAPEL E EMBALAGENS","JARI CELULOSE, PAPEL E EMBALAGENS",CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,7294170,13262.127
2016,BRAZIL,ALMEIRIM,"JARI CELULOSE, PAPEL E EMBALAGENS","JARI CELULOSE, PAPEL E EMBALAGENS",CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,8342343,15167.896
2016,BRAZIL,ALMEIRIM,"JARI CELULOSE, PAPEL E EMBALAGENS","JARI CELULOSE, PAPEL E EMBALAGENS",SOUTH KOREA,SOUTH KOREA,Wood pulp equivalents,7656485,13920.882
2015,BRAZIL,ALMEIRIM,MARQUESA S/A,MARQUESA S/A,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,1034815,1881.481
2016,BRAZIL,ALMEIRIM,MARQUESA S/A,MARQUESA S/A,CHINA (MAINLAND),CHINA (MAINLAND),Wood pulp equivalents,495436,900.793
2015,BRAZIL,BELEM,"JARI CELULOSE, PAPEL E EMBALAGENS","JARI CELULOSE, PAPEL E EMBALAGENS",ITALY,EUROPEAN UNION,Wood pulp equivalents,56547,102.4
2016,BRAZIL,CHUI,KLABIN S.A.,KLABIN S.A.,URUGUAY,URUGUAY,Wood pulp equivalents,534285,946.108
2017,BRAZIL,CHUI,KLABIN S.A.,KLABIN S.A.,URUGUAY,URUGUAY,Wood pulp equivalents,1148163,1870.51
2015,BRAZIL,CORUMBA,ELDORADO BRASIL CELULOSE S/A,ELDORADO BRASIL CELULOSE S/A,BOLIVIA,BOLIVIA,Wood pulp equivalents,46409,78
2016,BRAZIL,CORUMBA,ELDORADO BRASIL CELULOSE S/A,ELDORADO BRASIL CELULOSE S/A,BOLIVIA,BOLIVIA,Wood pulp equivalents,453794,834.085
2017,BRAZIL,CORUMBA,ELDORADO BRASIL CELULOSE S/A,ELDORADO BRASIL CELULOSE S/A,BOLIVIA,BOLIVIA,Wood pulp equivalents,1348792,2408
2015,BRAZIL,CORUMBA,FIBRIA-MS CELULOSE SUL MATO-GROSSENSE LTDA,FIBRIA-MS CELULOSE SUL MATO-GROSSENSE LTDA,BOLIVIA,BOLIVIA,Wood pulp equivalents,553026,936
2015,BRAZIL,CORUMBA,INTERNATIONAL PAPER DO BRASIL LTDA.,INTERNATIONAL PAPER DO BRASIL LTDA.,BOLIVIA,BOLIVIA,Wood pulp equivalents,148073,246.785
2016,BRAZIL,CORUMBA,KLABIN S.A.,KLABIN S.A.,BOLIVIA,BOLIVIA,Wood pulp equivalents,17922,48
2017,BRAZIL,CORUMBA,KLABIN S.A.,KLABIN S.A.,BOLIVIA,BOLIVIA,Wood pulp equivalents,2939901,5642
2015,BRAZIL,CORUMBA,SUZANO PAPEL E CELULOSE S.A.,SUZANO PAPEL E CELULOSE S.A.,BOLIVIA,BOLIVIA,Wood pulp equivalents,1918235,3510
2016,BRAZIL,CORUMBA,SUZANO PAPEL E CELULOSE S.A.,SUZANO PAPEL E CELULOSE S.A.,BOLIVIA,BOLIVIA,Wood pulp equivalents,3653198,7852
