YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,BEEF_EQUIVALENT_TONNES
2015,COLOMBIA,ADUANAS DE BARRANQUI,AGROP EL BUFALO S A,AGROP EL BUFALO S A,IP DMITRUK LEONID AFANASYEVICH,IP DMITRUK LEONID AFANASYEVICH,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,97101.75,31.5078011029555
2015,COLOMBIA,ADUANAS DE BARRANQUI,ANGLETON GROUP S A S,ANGLETON GROUP S A S,BARS LLC,BARS LLC,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,80752.74,36.5801926658511
2015,COLOMBIA,ADUANAS DE BARRANQUI,ANGLETON GROUP S A S,ANGLETON GROUP S A S,MOKBEL INTL TRADING LTD,MOKBEL INTL TRADING LTD,ANGOLA,ANGOLA,Beef equivalents,659548.31,203.12504827731
2015,COLOMBIA,ADUANAS DE BARRANQUI,ANGLETON GROUP S A S,ANGLETON GROUP S A S,PE KALININ OLEG STANISLAVOVICH,PE KALININ OLEG STANISLAVOVICH,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,89773.09,36.0524845222666
2016,COLOMBIA,ADUANAS DE BARRANQUI,ANGLETON GROUP S A S,ANGLETON GROUP S A S,WING WO TRANSPORTATION CO LTD,WING WO TRANSPORTATION CO LTD,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,85198.69,35.8071394220879
2016,COLOMBIA,ADUANAS DE BARRANQUI,ANGLETON GROUP S A S,ANGLETON GROUP S A S,WIN LEGEND INTL LTD,WIN LEGEND INTL LTD,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,93370.35,36.8086964548176
2016,COLOMBIA,ADUANAS DE BARRANQUI,ARCOS DORADOS COL S A S,ARCOS DORADOS COL S A S,ATEC SYSTEMS LTD,ATEC SYSTEMS LTD,UNITED STATES,UNITED STATES,Beef equivalents,181981.2,54.2802185915467
2015,COLOMBIA,ADUANAS DE BARRANQUI,BASTO BAUTISTA YESID LEONEL EXPS BASTOS,BASTO BAUTISTA YESID LEONEL EXPS BASTOS,CORP ANTILLANA N V,CORP ANTILLANA N V,CURACAO,CURACAO,Beef equivalents,311277.02,92.5780665492954
2016,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,AGROTIM,AGROTIM,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,47898.79,34.3096764609968
2015,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,ATROMA N V,ATROMA N V,CURACAO,CURACAO,Beef equivalents,3207027.18,1154.1484639035
2018,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,ATROMA N V,ATROMA N V,CURACAO,CURACAO,Beef equivalents,1013037.94,354.350787939557
2013,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,ATROMA N V,ATROMA N V,NETHERLANDS ANTILLES,NETHERLANDS ANTILLES,Beef equivalents,2239597.35,760.642812337253
2014,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,ATROMA N V,ATROMA N V,NETHERLANDS ANTILLES,NETHERLANDS ANTILLES,Beef equivalents,4614756.37,1560.87143313736
2016,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,BON BINI SUPERMARKET,BON BINI SUPERMARKET,CURACAO,CURACAO,Beef equivalents,194576.42,78.4435159919156
2017,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,BON BINI SUPERMARKET,BON BINI SUPERMARKET,CURACAO,CURACAO,Beef equivalents,146244.82,53.8180636542936
2015,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CB CO,CB CO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,367203.38,205.884823686001
2015,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,DV,DV,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,1131288.07,480.390304225996
2016,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,DV,DV,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,160984.54,68.6900397620452
2016,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,ESPERAMOS SUPERMARKET,ESPERAMOS SUPERMARKET,CURACAO,CURACAO,Beef equivalents,338935.96,121.52250368272
2017,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,ESPERAMOS SUPERMARKET,ESPERAMOS SUPERMARKET,CURACAO,CURACAO,Beef equivalents,93138.8,35.3293139130148
2015,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,FAIRIS C A,FAIRIS C A,PERU,PERU,Beef equivalents,89442,34.314000025
2013,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,FRIENDSHIP FROZEN FOODS TRADING CO,FRIENDSHIP FROZEN FOODS TRADING CO,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,182958.75,82.3538983937461
2014,COLOMBIA,ADUANAS DE BARRANQUI,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,FRIENDSHIP FROZEN FOODS TRADING CO,FRIENDSHIP FROZEN FOODS TRADING CO,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,212054.74,81.6564395310816
