YEAR,COUNTRY OF PRODUCTION,PORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COCOA_EQUIVALENT_TONNES
2017,COLOMBIA,ADUANAS DE BARRANQUI,HADA S A,HADA S A,HADA S A,HADA S A,COLOMBIA,COLOMBIA,Cocoa equivalents,2301.5,0.15456521736
2016,COLOMBIA,ADUANAS DE BARRANQUI,INVS G CARDENAS S A S,INVS G CARDENAS S A S,HORTENCIA WOLTER,HORTENCIA WOLTER,ARUBA,ARUBA,Cocoa equivalents,8.39,0.5
2017,COLOMBIA,ADUANAS DE CALI,AGROFILIAL S A S,AGROFILIAL S A S,ARA CHOCOLAT ANDRES ANDRES ZAKHOUR,ARA CHOCOLAT ANDRES ANDRES ZAKHOUR,FRANCE,EUROPEAN UNION,Cocoa equivalents,1698,0.1638
2018,COLOMBIA,ADUANAS DE CALI,AGROFILIAL S A S,AGROFILIAL S A S,ARA CHOCOLAT ANDRES ANDRES ZAKHOUR,ARA CHOCOLAT ANDRES ANDRES ZAKHOUR,FRANCE,EUROPEAN UNION,Cocoa equivalents,2251,0.332
2014,COLOMBIA,ADUANAS DE CALI,CORP TECNICA PARA EL DESARROLLO DEL PACIFICO,CORP TECNICA PARA EL DESARROLLO DEL PACIFICO,ZHAW UNIVERSIDAD DE LAS CIENCIAS APLICADAS,ZHAW UNIVERSIDAD DE LAS CIENCIAS APLICADAS,SWITZERLAND,SWITZERLAND,Cocoa equivalents,7567,2
2016,COLOMBIA,ADUANAS DE MEDELLIN,AVON COLOMBIA S A S,AVON COLOMBIA S A S,COSMETICOS AVON S A CHILE,COSMETICOS AVON S A CHILE,CHILE,CHILE,Cocoa equivalents,119.52,0.005152173912
2013,COLOMBIA,ADUANAS DE MEDELLIN,AVON COLOMBIA S A S,AVON COLOMBIA S A S,PRODS AVON S A EDUADOR,PRODS AVON S A EDUADOR,ECUADOR,ECUADOR,Cocoa equivalents,5,0.001717391304
2013,COLOMBIA,ADUANAS DE MEDELLIN,AVON COLOMBIA S A S,AVON COLOMBIA S A S,PRODS AVON S A,PRODS AVON S A,PERU,PERU,Cocoa equivalents,270.56,0.027478260864
2014,COLOMBIA,ADUANAS DE MEDELLIN,AVON COLOMBIA S A S,AVON COLOMBIA S A S,PRODS AVON S A,PRODS AVON S A,PERU,PERU,Cocoa equivalents,26.72,0.00407021739048
2015,COLOMBIA,ADUANAS DE MEDELLIN,AVON COLOMBIA S A S,AVON COLOMBIA S A S,PRODS AVON S A,PRODS AVON S A,PERU,PERU,Cocoa equivalents,66.92,0.00858695652
2015,COLOMBIA,ADUANAS DE MEDELLIN,AVON COLOMBIA S A S,AVON COLOMBIA S A S,QUALIPHARM LAB FARMACEUTICO S A,QUALIPHARM LAB FARMACEUTICO S A,ECUADOR,ECUADOR,Cocoa equivalents,96.71,0.012021739128
2016,COLOMBIA,ADUANAS DE MEDELLIN,CACAOTIER S A S,CACAOTIER S A S,TUSA SPECIALTY COFFEE LLC,TUSA SPECIALTY COFFEE LLC,UNITED STATES,UNITED STATES,Cocoa equivalents,1697.5,0.36
2013,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,MASSALIN PARTICULARES S A,MASSALIN PARTICULARES S A,ARGENTINA,ARGENTINA,Cocoa equivalents,802.1,0.047282608725
2016,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,MASSALIN PARTICULARES S A,MASSALIN PARTICULARES S A,ARGENTINA,ARGENTINA,Cocoa equivalents,12189.59,1.9543478273
2016,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,PHILIP MORRIS BRASIL IND E CIO LTD,PHILIP MORRIS BRASIL IND E CIO LTD,BRAZIL,BRAZIL,Cocoa equivalents,708.5,0.09456521745
2016,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,PHILIP MORRIS DOMINICANA S A,PHILIP MORRIS DOMINICANA S A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Cocoa equivalents,1284.91,0.1891304349
2016,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,PHILIP MORRIS INTL,PHILIP MORRIS INTL,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Cocoa equivalents,984.8,0.141847826175
2016,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,TABACALERA COSTARICENSE SA,TABACALERA COSTARICENSE SA,COSTA RICA,COSTA RICA,Cocoa equivalents,1252.75,0.1891304349
2017,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,TABACALERA COSTARICENSE SA,TABACALERA COSTARICENSE SA,COSTA RICA,COSTA RICA,Cocoa equivalents,1282.39,0.15760869575
