YEAR,COUNTRY OF PRODUCTION,DEPARTMENT,MUNICIPALITY OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COFFEE_EQUIVALENT_TONNES,COFFEE_BEAN,TRASE_GEOCODE
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,ARMENIA COFFEE CORP,ARMENIA COFFEE CORP,UNITED STATES,UNITED STATES,Coffee equivalents,71463.43,19.295,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,CAFE LUZ LTD,CAFE LUZ LTD,CHILE,CHILE,Coffee equivalents,35957.02,7.005,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,CAFE LUZ LTD,CAFE LUZ LTD,CHILE,CHILE,Coffee equivalents,17533.94,5.077,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,CAFFEBENE CO LTD,CAFFEBENE CO LTD,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,378985.68,96.498,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,COEX COFFEE INTERNATIONAL INC,COEX COFFEE INTERNATIONAL INC,CANADA,CANADA,Coffee equivalents,68714.74,19.24,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,COEX COFFEE INTERNATIONAL INC,COEX COFFEE INTERNATIONAL INC,UNITED STATES,UNITED STATES,Coffee equivalents,311690.76,96.392,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,COEX COFFEE INTERNATIONAL INC,COEX COFFEE INTERNATIONAL INC,UNITED STATES,UNITED STATES,Coffee equivalents,101797.9,38.56,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,CPO INC,CPO INC,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,105513.04,19.284,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,GANGNAM GANMAM DAERO,GANGNAM GANMAM DAERO,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,101234.95,19.264,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,GEBR WESTHOFF GMBH AND CO,GEBR WESTHOFF GMBH AND CO,GERMANY,EUROPEAN UNION,Coffee equivalents,177000.41,63.218,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,HERMANOS PUNJABI S A,HERMANOS PUNJABI S A,CANADA,CANADA,Coffee equivalents,71731.84,19.31,Green,CO-05
