YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,PALM_KERNEL_EQUIVALENT_TONNES
2018,COLOMBIA,ADUANAS DE BARRANQUI,CARGILL DE COLOMBIA LTDA,CARGILL,CARGILL AMERICAS INC,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,2177675.25,2290.626
2018,COLOMBIA,ADUANAS DE BARRANQUI,CARGILL DE COLOMBIA LTDA,CARGILL,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,8352783.26,9826.619
2018,COLOMBIA,ADUANAS DE BARRANQUI,CARGILL DE COLOMBIA LTDA,CARGILL,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,604006.62,516.189
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,ADM INTERNATIONAL SARL,ADM,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1091332.25,899.86
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,9895200.06,12000.01
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,7000174.53,5037.038
2015,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1903809.69,2332.269
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1053656,751.499
2018,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,436510.38,430.246
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL REFINED OILS EUROPE B V,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,2496595.25,2499.72
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,ECUAQUIMICA C A,ECUAQUIMICA C A,MEXICO,MEXICO,Palm kernel equivalents,764233.5,1018.978
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,INDUSTRIALIZADORA OLEOFINOS S A DE C V,INDUSTRIALIZADORA OLEOFINOS S A DE C V,MEXICO,MEXICO,Palm kernel equivalents,421679.25,514.243
2018,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,LA FABRIL C X A,LA FABRIL C X A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Palm kernel equivalents,318456.49,255.464
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,WILMAR EUROPE TRADING B V,WILMAR EUROPE TRADING B V,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,385991.84,496.772
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,WILMAR EUROPE TRADING B V,WILMAR EUROPE TRADING B V,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,394692.12,514.076
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,ADM INTERNATIONAL SARL,ADM,GERMANY,EUROPEAN UNION,Palm kernel equivalents,3161086.38,3168.465
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,BALTIMAR S A R L,BALTIMAR S A R L,MOROCCO,MOROCCO,Palm kernel equivalents,485406.66,507.217
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL AMERICAS INC,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,806063.31,1095.33
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL AMERICAS INC,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1983188.44,2563.673
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL AMERICAS INC,CARGILL,UNITED KINGDOM,EUROPEAN UNION,Palm kernel equivalents,416291.25,517.132
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,9740438.69,12082.896
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,8424941.82,6842.458
2015,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,20957018.65,24716.534
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,10614758.88,9776.369
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1652584.15,1501.076
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,3124522.94,4016.547
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,8886473.25,8129.906
2015,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,2183589.59,2262.043
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,3251839,2953.643
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,6813510.62,5870.931
