YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB,PALM_OIL_EQUIVALENT_TONNES
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,IOI LODERS CROKLAAN,IOI LODERS CROKLAAN,GERMANY,EUROPEAN UNION,Palm oil equivalents,1577006.88,3000.679
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL AMERICAS INC,CARGILL,CANADA,CANADA,Palm oil equivalents,66490.88,49.9621052631579
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL AMERICAS INC,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,5075524.3,6156.95926315789
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTD,GRASAS Y ACEITES VEGETALES LTD,INKA CROPS S A,INKA CROPS S A,PERU,PERU,Palm oil equivalents,36550.2,45.178947368421
2013,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTD,GRASAS Y ACEITES VEGETALES LTD,NATHAN FOODS CORP,NATHAN FOODS CORP,PANAMA,PANAMA,Palm oil equivalents,499245.44,315.498947368421
2014,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y DERIVADOS S A,GRASAS Y DERIVADOS S A,BIOCOMBUSTIBLES SOSTENIBLES DEL CARIBE S A,BIOCOMBUSTIBLES SOSTENIBLES DEL CARIBE S A,AUSTRALIA,AUSTRALIA,Palm oil equivalents,9633.6,9.09473684210526
2014,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y DERIVADOS S A,GRASAS Y DERIVADOS S A,BIOCOMBUSTIBLES SOSTENIBLES DEL CARIBE S A,BIOCOMBUSTIBLES SOSTENIBLES DEL CARIBE S A,COLOMBIA,COLOMBIA,Palm oil equivalents,200043.8,84.2289684210526
2014,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y DERIVADOS S A,GRASAS Y DERIVADOS S A,BIOCOMBUSTIBLES SOSTENIBLES DEL CARIBE S A,BIOCOMBUSTIBLES SOSTENIBLES DEL CARIBE S A,JAPAN,JAPAN,Palm oil equivalents,24865,13.2631578947368
2014,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y DERIVADOS S A,GRASAS Y DERIVADOS S A,BIOCOMBUSTIBLES SOSTENIBLES DEL CARIBE S A,BIOCOMBUSTIBLES SOSTENIBLES DEL CARIBE S A,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,94682.2,89.6115789473684
2013,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y DERIVADOS S A,GRASAS Y DERIVADOS S A,ESPALSA S A,ESPALSA S A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Palm oil equivalents,67467.38,58.6421052631579
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y DERIVADOS S A,GRASAS Y DERIVADOS S A,ESPALSA S A,ESPALSA S A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Palm oil equivalents,21087.55,26.3210526315789
2014,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y DERIVADOS S A,GRASAS Y DERIVADOS S A,OBM PROD INC,OBM PROD INC,PUERTO RICO,PUERTO RICO,Palm oil equivalents,37615.32,29.1336842105263
2013,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y DERIVADOS S A,GRASAS Y DERIVADOS S A,UNILEVER CARIBBEAN LTD,UNILEVER CARIBBEAN LTD,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,Palm oil equivalents,26247.9,21.2526315789474
2013,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,ADM INCA S A C,ADM,PERU,PERU,Palm oil equivalents,102398.05,88.8968421052631
2013,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,BAKERY CHOTELAL,BAKERY CHOTELAL,SURINAME,SURINAME,Palm oil equivalents,22283.1,19.3378947368421
2013,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CARGILL BV,CARGILL,MEXICO,MEXICO,Palm oil equivalents,326220.12,400.167
2013,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,ECUAQUIMICA C A,ECUAQUIMICA C A,MEXICO,MEXICO,Palm oil equivalents,1013899.38,987.827473684211
2013,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,IOI LODERS CROKLAAN,IOI LODERS CROKLAAN,MEXICO,MEXICO,Palm oil equivalents,1490150.46,1719.45173684211
2013,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,WATTS S A,WATTS S A,CHILE,CHILE,Palm oil equivalents,654788.33,568.401052631579
2015,COLOMBIA,ADUANAS DE BARRANQUI,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,BIOCOMBUSTIBLES SOSTENIBLES DEL CARIBE S A,BIOCOMBUSTIBLES SOSTENIBLES DEL CARIBE S A,COLOMBIA,COLOMBIA,Palm oil equivalents,578494.58,246.833589473684
2016,COLOMBIA,ADUANAS DE BARRANQUI,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,CARIBBEAN ECO SOAPS USUARIO INDL DE BIENES Y SERVS,CARIBBEAN ECO SOAPS USUARIO INDL DE BIENES Y SERVS,BOLIVIA,BOLIVIA,Palm oil equivalents,144310.18,213.440526315789
