YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,WOOD_PULP_EQUIVALENT_TONNES
2013,COLOMBIA,ADUANAS DE CUCUTA,BAYER S A,BAYER S A,QUIMICA CMV C A,QUIMICA CMV C A,VENEZUELA,VENEZUELA,Wood pulp equivalents,5954.95,1.165
2016,COLOMBIA,BOGOTA,BAVARIA S A,BAVARIA S A,CASA ISENBECK,CASA ISENBECK,ARGENTINA,ARGENTINA,Wood pulp equivalents,336,0.16
2015,COLOMBIA,BOGOTA,COL KIMBERLY COLPAPEL S A,COL KIMBERLY COLPAPEL S A,EROSION TECH,EROSION TECH,UNITED STATES,UNITED STATES,Wood pulp equivalents,100,0.144
2016,COLOMBIA,BOGOTA,COL KIMBERLY COLPAPEL S A,COL KIMBERLY COLPAPEL S A,KIMBERLY,KIMBERLY,PERU,PERU,Wood pulp equivalents,24335.55,4.05593
2015,COLOMBIA,BOGOTA,COL KIMBERLY COLPAPEL S A,COL KIMBERLY COLPAPEL S A,KIMBERLY,KIMBERLY,UNITED STATES,UNITED STATES,Wood pulp equivalents,100,0.084
2016,COLOMBIA,BOGOTA,SCHLUMBERGER SURENCO S A,SCHLUMBERGER SURENCO S A,SCHLUMBERGER DEL ECUADOR S A,SCHLUMBERGER DEL ECUADOR S A,ECUADOR,ECUADOR,Wood pulp equivalents,942.7,0.017
2017,COLOMBIA,BUENAVENTURA,CARTONES AMERICA S A,CARTONES AMERICA S A,CELULOSA ARAUCO Y CONSTITUCION S A,CELULOSA ARAUCO Y CONSTITUCION S A,CHILE,CHILE,Wood pulp equivalents,15153.25,25.358
2017,COLOMBIA,BUENAVENTURA,COL KIMBERLY COLPAPEL S A,COL KIMBERLY COLPAPEL S A,KIMBERLY,KIMBERLY,ECUADOR,ECUADOR,Wood pulp equivalents,74327.39,99.889
2018,COLOMBIA,BUENAVENTURA,COL KIMBERLY COLPAPEL S A,COL KIMBERLY COLPAPEL S A,KIMBERLY,KIMBERLY,PERU,PERU,Wood pulp equivalents,161729.46,199.666
2017,COLOMBIA,BUENAVENTURA,PAPELES NALS S A,PAPELES NALS S A,WESTERN TRADING CO LTD,WESTERN TRADING CO LTD,UNITED STATES,UNITED STATES,Wood pulp equivalents,5270.27,22.144
