YEAR,COUNTRY OF PRODUCTION,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB,COCOA_EQUIVALENT_TONNES
2018,COTE D'IVOIRE,ADAGRA MARIE CHANTAL,ADAGRA MARIE CHANTAL,LITHUANIA,EUROPEAN UNION,Cocoa equivalents,17.4216027874564,0.030260869584
2017,COTE D'IVOIRE,ADM COCOA SIFCA,ADM COCOA SIFCA,COTE D'IVOIRE,COTE D'IVOIRE,Cocoa equivalents,0.00169779286926995,0.569
2016,COTE D'IVOIRE,ADM COCOA SIFCA,ADM COCOA SIFCA,ESTONIA,EUROPEAN UNION,Cocoa equivalents,387677.956661316,125.125
2016,COTE D'IVOIRE,ADM COCOA SIFCA,ADM COCOA SIFCA,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,22403441.1813804,7432.425
2016,COTE D'IVOIRE,ADM COCOA SIFCA,ADM COCOA SIFCA,UNITED STATES,UNITED STATES,Cocoa equivalents,10260082.4510433,3428.425
2017,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,BELGIUM,EUROPEAN UNION,Cocoa equivalents,3576705.21731749,1676.675
2018,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,BELGIUM,EUROPEAN UNION,Cocoa equivalents,1813779.38675958,775.775
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,BELGIUM,EUROPEAN UNION,Cocoa equivalents,3788725.6369863,1626.75
2018,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,CANADA,CANADA,Cocoa equivalents,1087873.82926829,500.5
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,CANADA,CANADA,Cocoa equivalents,5149286.04280822,2352.35
2017,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,FRANCE,EUROPEAN UNION,Cocoa equivalents,843546.225806452,333.918
2018,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,FRANCE,EUROPEAN UNION,Cocoa equivalents,3180969.76480836,1451.45
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,FRANCE,EUROPEAN UNION,Cocoa equivalents,989613.347602739,439.795
2017,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,GERMANY,EUROPEAN UNION,Cocoa equivalents,1536960.70797963,500.5
2018,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,GERMANY,EUROPEAN UNION,Cocoa equivalents,1489390.36759582,775.775
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,GERMANY,EUROPEAN UNION,Cocoa equivalents,10264101.760274,4329.325
2017,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,INDONESIA,INDONESIA,Cocoa equivalents,156963.049235993,50.05
