YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB,COCOA_EQUIVALENT_TONNES
2019,GHANA,CEPS JAMES TOWN,AFROTROPIC COCOA PROCESSING COMPANY,AFROTROPIC COCOA PROCESSING COMPANY,HUYSER,HUYSER,ITALY,EUROPEAN UNION,Cocoa equivalents,55134.78,45.60386472
2019,GHANA,CEPS JAMES TOWN,AFROTROPIC COCOA PROCESSING COMPANY,AFROTROPIC COCOA PROCESSING COMPANY,HUYSER,HUYSER,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,518894.07,410.43478248
2019,GHANA,CEPS JAMES TOWN,AFROTROPIC COCOA PROCESSING COMPANY,AFROTROPIC COCOA PROCESSING COMPANY,INDCRESA,INDCRESA,SPAIN,EUROPEAN UNION,Cocoa equivalents,147228.31,114.0096618
2018,GHANA,CEPS JAMES TOWN,AFROTROPIC COCOA PROCESSING COMPANY,AFROTROPIC COCOA PROCESSING COMPANY,NUTKAO SRL,NUTKAO SRL,ITALY,EUROPEAN UNION,Cocoa equivalents,3788666.5,1638.76
2019,GHANA,CEPS JAMES TOWN,AFROTROPIC COCOA PROCESSING COMPANY,AFROTROPIC COCOA PROCESSING COMPANY,NUTKAO SRL,NUTKAO SRL,ITALY,EUROPEAN UNION,Cocoa equivalents,14170379.92,6279.56521664
2018,GHANA,CEPS JAMES TOWN,FRESH AND TASTY FARMS LIMITED,FRESH AND TASTY FARMS LIMITED,MADAM MARIAN K. BUASAH,MADAM MARIAN K. BUASAH,UNITED STATES,UNITED STATES,Cocoa equivalents,300,8.16332760704232
2018,GHANA,CEPS JAMES TOWN,PRAISE EXPORT SERVICES LIMITED,PRAISE EXPORT SERVICES LIMITED,MARCHE GHANACAN,MARCHE GHANACAN,CANADA,CANADA,Cocoa equivalents,82.5,0.07728260868
2018,GHANA,CEPS KIA,AGRIBUSINESS INSUSTAINABLE NATURALA,AGRIBUSINESS INSUSTAINABLE NATURALA,MICHELLE WALTER,MICHELLE WALTER,SOUTH AFRICA,SOUTH AFRICA,Cocoa equivalents,400,0.705847825944
2019,GHANA,CEPS KIA,ANGELINA NAA AYELE ARMAH,ANGELINA NAA AYELE ARMAH,KATHRINE BERGSTA,KATHRINE BERGSTA,NORWAY,NORWAY,Cocoa equivalents,55.45,0.023184782604
2019,GHANA,CEPS KIA,ANGELINA NAA AYELE ARMAH,ANGELINA NAA AYELE ARMAH,MARCO VANALLI C/O FOOD PROJECT,MARCO VANALLI C/O FOOD PROJECT,ITALY,EUROPEAN UNION,Cocoa equivalents,52.24,0.004
2019,GHANA,CEPS KIA,BARRY CALLEBAUT,BARRY CALLEBAUT,NURUL AZLEN MOHD NAWI,NURUL AZLEN MOHD NAWI,MALAYSIA,MALAYSIA,Cocoa equivalents,398.46,0.18891304344
2018,GHANA,CEPS KIA,BENJAMIN OTCHERE,BENJAMIN OTCHERE,BRAIDZ N BEAUTY,BRAIDZ N BEAUTY,AUSTRALIA,AUSTRALIA,Cocoa equivalents,2,0.15456521736
2018,GHANA,CEPS KIA,BENJAMIN OTCHERE,BENJAMIN OTCHERE,LAWRENCE HARRIS,LAWRENCE HARRIS,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,20,0.029
2018,GHANA,CEPS KIA,BENJAMIN OTCHERE,BENJAMIN OTCHERE,SPECIAL FRUITS,SPECIAL FRUITS,LEBANON,LEBANON,Cocoa equivalents,36,1.717391304
2018,GHANA,CEPS KIA,BENJAMIN OTCHERE,BENJAMIN OTCHERE,VANORTTON FOODS,VANORTTON FOODS,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Cocoa equivalents,550,0.02857487922
2018,GHANA,CEPS KIA,BISMARK OWUSU,BISMARK OWUSU,DK FREIGHT SERVICE,DK FREIGHT SERVICE,NAMIBIA,NAMIBIA,Cocoa equivalents,100,0.155423913012
2018,GHANA,CEPS KIA,BRIGHT SEKYERE,BRIGHT SEKYERE,FORTUNE TRADING COMPANY,FORTUNE TRADING COMPANY,CHINA (HONG KONG),CHINA (HONG KONG),Cocoa equivalents,90,0.6869565216
