YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,CORN_EQUIVALENT_TONNES
2013,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,ALGERIA,ALGERIA,Corn equivalents,4130805,21998.119
2015,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,ALGERIA,ALGERIA,Corn equivalents,10070178,74099.208
2017,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,ALGERIA,ALGERIA,Corn equivalents,4235356,38500
2013,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,CHILE,CHILE,Corn equivalents,9823733,48404.912
2014,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,CHILE,CHILE,Corn equivalents,14706623.21,84472.582
2015,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,CHILE,CHILE,Corn equivalents,29047845,168190.842
2018,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,CHILE,CHILE,Corn equivalents,5641635,36058
2013,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,COLOMBIA,COLOMBIA,Corn equivalents,745571,3559.83
2016,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,COSTA RICA,COSTA RICA,Corn equivalents,4487566,28654.842
2015,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Corn equivalents,1101313,9077.792
2016,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,EGYPT,EGYPT,Corn equivalents,1716666,13755.81
2015,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,GHANA,GHANA,Corn equivalents,1968234,16500
2013,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,INDONESIA,INDONESIA,Corn equivalents,801609,5499.099
2013,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,MALAYSIA,MALAYSIA,Corn equivalents,3800970,20853.521
2014,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,MALAYSIA,MALAYSIA,Corn equivalents,4375194.38,21549.497
2014,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,MOROCCO,MOROCCO,Corn equivalents,3329163.61,27498.766
2015,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,MOROCCO,MOROCCO,Corn equivalents,8795332,63594.132
2017,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,MOROCCO,MOROCCO,Corn equivalents,2821509,24200
2014,PARAGUAY,ADM - PUERTO SARA,ADM PARAGUAY,ADM,NIGERIA,NIGERIA,Corn equivalents,1383207.64,7185.121
