YEAR,COUNTRY OF PRODUCTION,BIOME,DEPARTMENT,DISTRICT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,TERRITORIAL_DEFORESTATION_RISK_HA,LAND_USE_HA,SOY_DEFORESTATION_5_YEAR_ANNUAL_RISK_HA,SOY_EQUIVALENT_TONNES,ZERO_DEFORESTATION_PARAGUAY_SOY,TRASE_GEOCODE
2018,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,ADM PARAGUAY,ADM,CHILE,CHILE,Soy bean equivalents,345689.348,0.0738507628558213,298.323076581248,,958.906692,COMPANY COMMITMENT,PY-01
2017,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,ADM PARAGUAY,ADM,PERU,PERU,Soy bean equivalents,1330397.585,4.33583048937112,1369.95180760193,1.09596144608155,4337.769433,COMPANY COMMITMENT,PY-01
2016,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,ADM PARAGUAY,ADM,TURKEY,TURKEY,Soy bean equivalents,3296682.594,103.948742637506,3452.09829043967,20.712589742638,9587.201764,COMPANY COMMITMENT,PY-01
2016,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,GERMANY,EUROPEAN UNION,Soy bean equivalents,452013.299,15.948109604511,529.630667043902,3.17778400226341,1470.895565,NONE,PY-01
2015,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,GREECE,EUROPEAN UNION,Soy bean equivalents,3628533.125,128.324951580171,3722.90452516803,43.9302733969827,9513.16446,NONE,PY-01
2016,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,GREECE,EUROPEAN UNION,Soy bean equivalents,228826.485,7.07901389342676,235.09136464225,1.4105481878535,652.89808,NONE,PY-01
2015,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,ISRAEL,ISRAEL,Soy bean equivalents,1340647.156,48.9703318732812,1420.70476462342,16.7643162225563,3630.337008,NONE,PY-01
2015,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,ITALY,EUROPEAN UNION,Soy bean equivalents,2054454.238,74.0848996649456,2149.31706431957,25.3619413589709,5492.165209,NONE,PY-01
2016,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,ITALY,EUROPEAN UNION,Soy bean equivalents,697220.503,19.6015816805751,650.961088056606,3.90576652833964,1807.855619,NONE,PY-01
2017,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,NETHERLANDS,EUROPEAN UNION,Soy bean equivalents,211907.652,0.648678321004185,204.956822133691,0.163965457706953,648.968404,COMPANY COMMITMENT,PY-01
2014,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,NIGERIA,NIGERIA,Soy bean equivalents,61124.221,1.93447885084911,53.0020269230769,0.784429998461538,137.80527,NONE,PY-01
2015,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,NIGERIA,NIGERIA,Soy bean equivalents,865138.166,30.3867187488182,881.565520516149,10.4024731420906,2252.670656,NONE,PY-01
2014,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Soy bean equivalents,210084.016,6.01992092553639,164.937451153846,2.44107427707692,428.837373,NONE,PY-01
2017,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Soy bean equivalents,2015969.411,5.82564964890682,1840.67603347036,1.47254082677629,5828.254826,COMPANY COMMITMENT,PY-01
2016,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,SOUTH AFRICA,SOUTH AFRICA,Soy bean equivalents,931141.349,29.5856841247021,982.529340874604,5.89517604524762,2728.690274,NONE,PY-01
2016,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO AGRI PARAGUAY S.A.,COFCO,SOUTH KOREA,SOUTH KOREA,Soy bean equivalents,1002757.507,31.4669629162488,1045.0058955241,6.27003537314461,2902.200784,NONE,PY-01
2017,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,Soy bean equivalents,92356.435,0.265355814313544,83.8419948306717,0.0670735958645374,265.474479,COMPANY COMMITMENT,PY-01
2018,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,Soy bean equivalents,104489.183,0.0211056328807993,85.2570385289946,,274.04365,COMPANY COMMITMENT,PY-01
2017,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,NETHERLANDS,EUROPEAN UNION,Soy bean equivalents,1028724.573,2.94566911378845,930.715519650534,0.744572415720427,2946.98639,COMPANY COMMITMENT,PY-01
2017,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,PORTUGAL,EUROPEAN UNION,Soy bean equivalents,996440.833,3.04724064493129,962.808126368239,0.770246501094591,3048.603343,COMPANY COMMITMENT,PY-01
2017,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Soy bean equivalents,923185.586,2.3942630725129,756.492909975212,0.60519432798017,2395.333765,COMPANY COMMITMENT,PY-01
2018,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Soy bean equivalents,139516.54,0.029220244931773,118.036334756927,,379.406892,COMPANY COMMITMENT,PY-01
2017,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,SPAIN,EUROPEAN UNION,Soy bean equivalents,828643.069,2.36460613382389,747.12248443285,0.59769798754628,2365.663564,COMPANY COMMITMENT,PY-01
2018,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,FRANCISCO VIERCI Y CIA,FRANCISCO VIERCI Y CIA,ARGENTINA,ARGENTINA,Soy bean equivalents,4262433.897,0.883554208222397,3569.15215944092,,11472.407464,NONE,PY-01
2014,PARAGUAY,CHACO HUMEDO,CONCEPCION,ANTEQUERA,LOUIS DREYFUS,LOUIS DREYFUS,MEXICO,MEXICO,Soy bean equivalents,54511.702,1.42504899019063,39.0443580769231,0.577856499538462,101.515331,,PY-01
2018,PARAGUAY,CHACO HUMEDO,CONCEPCION,ASUNCION,ADM PARAGUAY,ADM,ANGOLA,ANGOLA,Soy bean equivalents,157050.816,0.0281626869765022,113.764287581256,,365.675153,COMPANY COMMITMENT,PY-01
2017,PARAGUAY,CHACO HUMEDO,CONCEPCION,ASUNCION,ADM PARAGUAY,ADM,GHANA,GHANA,Soy bean equivalents,1193.525,0.00334480423422325,1.05682651062619,0.000845461208500955,3.3463,COMPANY COMMITMENT,PY-01
2017,PARAGUAY,CHACO HUMEDO,CONCEPCION,ASUNCION,ADM PARAGUAY,ADM,INDONESIA,INDONESIA,Soy bean equivalents,16113.623,0.0519518755977082,16.4147482374741,0.0131317985899793,51.975108,COMPANY COMMITMENT,PY-01
