YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COCOA_EQUIVALENT_TONNES
2013,PERU,DESAGUADERO,COMPAIA NACIONAL DE CHOCOLATES DE PERU,BOLIVIA,BOLIVIA,Cocoa equivalents,18400,6.869565216
2014,PERU,DESAGUADERO,COMPAIA NACIONAL DE CHOCOLATES DE PERU,BOLIVIA,BOLIVIA,Cocoa equivalents,15400,3.434782608
2013,PERU,DESAGUADERO,CONSERVAS Y ALIMENTOS S.A.,BOLIVIA,BOLIVIA,Cocoa equivalents,346500,75.65217396
2014,PERU,DESAGUADERO,CONSERVAS Y ALIMENTOS S.A.,BOLIVIA,BOLIVIA,Cocoa equivalents,159000,75.65217396
2015,PERU,DESAGUADERO,CONSERVAS Y ALIMENTOS S.A.,BOLIVIA,BOLIVIA,Cocoa equivalents,137640,56.73913047
2016,PERU,DESAGUADERO,CONSERVAS Y ALIMENTOS S.A.,BOLIVIA,BOLIVIA,Cocoa equivalents,145680,37.82608698
2014,PERU,DESAGUADERO,LASINO S A,BOLIVIA,BOLIVIA,Cocoa equivalents,7314.1,1.118391305042
2015,PERU,DESAGUADERO,LASINO S A,BOLIVIA,BOLIVIA,Cocoa equivalents,7645.57,1.12396434852372
2013,PERU,DESAGUADERO,MACHU PICCHU COFFEE TRADING S.A.C.,BOLIVIA,BOLIVIA,Cocoa equivalents,569260,116.000000072
2014,PERU,DESAGUADERO,MACHU PICCHU COFFEE TRADING S.A.C.,BOLIVIA,BOLIVIA,Cocoa equivalents,163218,45.5173913326
2015,PERU,DESAGUADERO,MACHU PICCHU COFFEE TRADING S.A.C.,BOLIVIA,BOLIVIA,Cocoa equivalents,279133.6,55.00543481675
2016,PERU,DESAGUADERO,MACHU PICCHU COFFEE TRADING S.A.C.,BOLIVIA,BOLIVIA,Cocoa equivalents,462079.88,100.239130497
2017,PERU,DESAGUADERO,MACHU PICCHU COFFEE TRADING S.A.C.,BOLIVIA,BOLIVIA,Cocoa equivalents,877916.48,227.2717392715
2018,PERU,DESAGUADERO,MACHU PICCHU COFFEE TRADING S.A.C.,BOLIVIA,BOLIVIA,Cocoa equivalents,1015499.71,303.78630450787
2016,PERU,DESAGUADERO,ORGANO GOLD ENTERPRISES PERU S A C OGE,BOLIVIA,BOLIVIA,Cocoa equivalents,7522.87,0.544695652512
2013,PERU,MOLLENDO MATARANI,MAKE A DEAL SOCIEDAD ANONIMA CERRADA,COSTA RICA,COSTA RICA,Cocoa equivalents,7169.04,0.488586956825
2014,PERU,MOLLENDO MATARANI,MAKE A DEAL SOCIEDAD ANONIMA CERRADA,COSTA RICA,COSTA RICA,Cocoa equivalents,12208,0.8195652179
2015,PERU,MOLLENDO MATARANI,MAKE A DEAL SOCIEDAD ANONIMA CERRADA,COSTA RICA,COSTA RICA,Cocoa equivalents,6397.45,0.5070652176
2017,PERU,PAITA,AGRICOLA SAN JOSE S A,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Cocoa equivalents,26391,11.786608702968
2013,PERU,PAITA,ARMAJARO PERU S A C,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,2015481.83,825.588
2014,PERU,PAITA,ARMAJARO PERU S A C,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,813900.6,300.288
2013,PERU,PAITA,ARMAJARO PERU S A C,SPAIN,EUROPEAN UNION,Cocoa equivalents,167740.12,75.072
2017,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,BELGIUM,EUROPEAN UNION,Cocoa equivalents,114816,49.92
2018,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,BELGIUM,EUROPEAN UNION,Cocoa equivalents,106262.7,49.92
2013,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ITALY,EUROPEAN UNION,Cocoa equivalents,77316,24.94
2014,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ITALY,EUROPEAN UNION,Cocoa equivalents,378734.68,100.699
2015,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ITALY,EUROPEAN UNION,Cocoa equivalents,606474.08,149.86
2016,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,ITALY,EUROPEAN UNION,Cocoa equivalents,651640.83,174.96
2017,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,ITALY,EUROPEAN UNION,Cocoa equivalents,594858.02,225.09
2018,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ITALY,EUROPEAN UNION,Cocoa equivalents,297098.4,125.197
2016,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,SPAIN,EUROPEAN UNION,Cocoa equivalents,129619.3,50.01
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,BELGIUM,EUROPEAN UNION,Cocoa equivalents,21586.92,2.47
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,FRANCE,EUROPEAN UNION,Cocoa equivalents,423504.8,100.024
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,GERMANY,EUROPEAN UNION,Cocoa equivalents,480000,150
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,77337.99,25
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,NEW ZEALAND,NEW ZEALAND,Cocoa equivalents,5600,1.4
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,SPAIN,EUROPEAN UNION,Cocoa equivalents,21000,6
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,SWITZERLAND,SWITZERLAND,Cocoa equivalents,40000,8
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,48000,12
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,UNITED STATES,UNITED STATES,Cocoa equivalents,660669.6,174.5
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS NO,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,149781.06,50.094
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,CANADA,CANADA,Cocoa equivalents,3750,1.25
2016,PERU,PAITA,B  R PACIFIC TRADING S R L,MALAYSIA,MALAYSIA,Cocoa equivalents,73601.22,25.06
2014,PERU,PAITA,CASA LUKER DEL PERU S A C,BELGIUM,EUROPEAN UNION,Cocoa equivalents,156152.8,49.92895
2013,PERU,PAITA,CASA LUKER DEL PERU S A C,COLOMBIA,COLOMBIA,Cocoa equivalents,66052.8,25.02
2014,PERU,PAITA,CASA LUKER DEL PERU S A C,INDIA,INDIA,Cocoa equivalents,778383.41,248.963
2013,PERU,PAITA,CASA LUKER DEL PERU S A C,MALAYSIA,MALAYSIA,Cocoa equivalents,243641.08,99.23
2015,PERU,PAITA,CASA LUKER DEL PERU S A C,SPAIN,EUROPEAN UNION,Cocoa equivalents,209202.01,74.5935
2017,PERU,PAITA,CASA LUKER DEL PERU S A C,SPAIN,EUROPEAN UNION,Cocoa equivalents,360310.15,148.827
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Cocoa equivalents,15680,3.92
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Cocoa equivalents,11250,2.25
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Cocoa equivalents,26250,5.25
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Cocoa equivalents,30600,6
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Cocoa equivalents,29900,5.75
2016,PERU,PAITA,C H P EXPORTACIONES S A C,MALAYSIA,MALAYSIA,Cocoa equivalents,64153.6,25.06
2013,PERU,PAITA,COOP AGRARIA CAFETALERA BAGUA GRANDE LTD,UNITED STATES,UNITED STATES,Cocoa equivalents,1,0.025
2014,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,BELGIUM,EUROPEAN UNION,Cocoa equivalents,17986.76,1.46
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,BELGIUM,EUROPEAN UNION,Cocoa equivalents,57500,25
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,CANADA,CANADA,Cocoa equivalents,10970,3
2016,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,CHILE,CHILE,Cocoa equivalents,50000,10
2015,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,DENMARK,EUROPEAN UNION,Cocoa equivalents,2250,0.5
2016,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,DENMARK,EUROPEAN UNION,Cocoa equivalents,2750,0.5
2013,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,FRANCE,EUROPEAN UNION,Cocoa equivalents,103501,25.01
