YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COFFEE_EQUIVALENT_TONNES
2014,PERU,DESAGUADERO,LASINO S A,LASINO S A,BOLIVIA,BOLIVIA,Coffee equivalents,33008.3,2.8775
2015,PERU,DESAGUADERO,LASINO S A,LASINO S A,BOLIVIA,BOLIVIA,Coffee equivalents,30184.2,2.404675
2015,PERU,DESAGUADERO,NESTLE BRASIL LTDA,NESTLE BRASIL LTDA,BOLIVIA,BOLIVIA,Coffee equivalents,21287.6,4.0608
2016,PERU,DESAGUADERO,ORGANO GOLD ENTERPRISES PERU S A C OGE,ORGANO GOLD ENTERPRISES PERU S A C OGE,BOLIVIA,BOLIVIA,Coffee equivalents,66877.4,6.166125
2017,PERU,DESAGUADERO,ORGANO GOLD ENTERPRISES PERU S A C OGE,ORGANO GOLD ENTERPRISES PERU S A C OGE,BOLIVIA,BOLIVIA,Coffee equivalents,59341.03,5.3167125
2015,PERU,DESAGUADERO,TEOMA LABS S A C,TEOMA LABS S A C,BOLIVIA,BOLIVIA,Coffee equivalents,39676.25,4.244525
2015,PERU,DESAGUADERO,TIANSHI PERU S.A.C.,TIANSHI PERU S.A.C.,BOLIVIA,BOLIVIA,Coffee equivalents,5347.38,0.482375
2016,PERU,DESAGUADERO,TIANSHI PERU S.A.C.,TIANSHI PERU S.A.C.,BOLIVIA,BOLIVIA,Coffee equivalents,18949.32,1.7890625
2018,PERU,LA TINA,REPRESENTACIONES MEGO S R L,REPRESENTACIONES MEGO S R L,ECUADOR,ECUADOR,Coffee equivalents,7222,4.6
2014,PERU,PAITA,AGROEXPORTADORA TASTA S A C,AGROEXPORTADORA TASTA S A C,UNITED STATES,UNITED STATES,Coffee equivalents,17992.63,2.208
2015,PERU,PAITA,AGROEXPORTADORA TASTA S A C,AGROEXPORTADORA TASTA S A C,UNITED STATES,UNITED STATES,Coffee equivalents,43293.45,5.658
2018,PERU,PAITA,AGRO EXPORT COFFEE S A C,AGRO EXPORT COFFEE S A C,ITALY,EUROPEAN UNION,Coffee equivalents,43804.7,18.975
2018,PERU,PAITA,AGRO NEGOCIOS MUNDO VERDE E I R L,AGRO NEGOCIOS MUNDO VERDE E I R L,SPAIN,EUROPEAN UNION,Coffee equivalents,104639.1,38.975
2018,PERU,PAITA,AGRO NEGOCIOS MUNDO VERDE E I R L,AGRO NEGOCIOS MUNDO VERDE E I R L,SWEDEN,EUROPEAN UNION,Coffee equivalents,379506.1,168
2013,PERU,PAITA,ARMAJARO PERU S A C,ARMAJARO PERU S A C,BELGIUM,EUROPEAN UNION,Coffee equivalents,172244.42,56.925
2013,PERU,PAITA,ARMAJARO PERU S A C,ARMAJARO PERU S A C,JAPAN,JAPAN,Coffee equivalents,626096.18,232.875
2013,PERU,PAITA,ARMAJARO PERU S A C,ARMAJARO PERU S A C,PORTUGAL,EUROPEAN UNION,Coffee equivalents,54172.81,18.975
2013,PERU,PAITA,ARMAJARO PERU S A C,ARMAJARO PERU S A C,UNITED STATES,UNITED STATES,Coffee equivalents,365509.57,132.825
2013,PERU,PAITA,ASOC. DE PROD.AGRO. DEL VALLE ALTO MAYO,ASOC. DE PROD.AGRO. DEL VALLE ALTO MAYO,MEXICO,MEXICO,Coffee equivalents,144510,34.5
2013,PERU,PAITA,ASOC. DE PROD.AGRO. DEL VALLE ALTO MAYO,ASOC. DE PROD.AGRO. DEL VALLE ALTO MAYO,UNITED STATES,UNITED STATES,Coffee equivalents,477005.4,109.71
2016,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,BELGIUM,EUROPEAN UNION,Coffee equivalents,82372.6,19.665
2016,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,CANADA,CANADA,Coffee equivalents,79482.7,18.975
2014,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,SWEDEN,EUROPEAN UNION,Coffee equivalents,96194.83,18.9751
2016,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,158965.4,37.95
2014,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,UNITED STATES,UNITED STATES,Coffee equivalents,296432.82,56.925
2015,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,UNITED STATES,UNITED STATES,Coffee equivalents,149050.88,37.95
2016,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,UNITED STATES,UNITED STATES,Coffee equivalents,74211.74,18.975
2018,PERU,PAITA,ASOCIACION AGROEXPORTADORA DE LA REGION,ASOCIACION AGROEXPORTADORA DE LA REGION,AUSTRALIA,AUSTRALIA,Coffee equivalents,52709.2,18.975
2018,PERU,PAITA,ASOCIACION AGROEXPORTADORA DE LA REGION,ASOCIACION AGROEXPORTADORA DE LA REGION,BELGIUM,EUROPEAN UNION,Coffee equivalents,189388.2,62.01
2018,PERU,PAITA,ASOCIACION AGROEXPORTADORA DE LA REGION,ASOCIACION AGROEXPORTADORA DE LA REGION,GERMANY,EUROPEAN UNION,Coffee equivalents,117131.6,37.95
2018,PERU,PAITA,ASOCIACION AGROEXPORTADORA DE LA REGION,ASOCIACION AGROEXPORTADORA DE LA REGION,SWEDEN,EUROPEAN UNION,Coffee equivalents,230078.5,82.59
2018,PERU,PAITA,ASOCIACION AGROEXPORTADORA DE LA REGION,ASOCIACION AGROEXPORTADORA DE LA REGION,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,586228.8,189.7502
2018,PERU,PAITA,ASOCIACION AGROPECUARIA DE PRODUCTORES,ASOCIACION AGROPECUARIA DE PRODUCTORES,UNITED STATES,UNITED STATES,Coffee equivalents,308243.4,113.85
2016,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,BELGIUM,EUROPEAN UNION,Coffee equivalents,66932.25,18.975
2014,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,CANADA,CANADA,Coffee equivalents,274015.88,57.27
2015,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,CANADA,CANADA,Coffee equivalents,79450.5,18.975
2016,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,FRANCE,EUROPEAN UNION,Coffee equivalents,66932.25,18.975
2015,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,SWEDEN,EUROPEAN UNION,Coffee equivalents,400045.94,110.26
2013,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,UNITED STATES,UNITED STATES,Coffee equivalents,245767.2,57.96
2014,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,UNITED STATES,UNITED STATES,Coffee equivalents,97515.6,19.32
2013,PERU,PAITA,ASOCIACION CENTRAL CAFETALERA AGROPECUAR,ASOCIACION CENTRAL CAFETALERA AGROPECUAR,GERMANY,EUROPEAN UNION,Coffee equivalents,86706.34,20.7
2013,PERU,PAITA,ASOCIACION CENTRAL CAFETALERA AGROPECUAR,ASOCIACION CENTRAL CAFETALERA AGROPECUAR,SWEDEN,EUROPEAN UNION,Coffee equivalents,966486.73,230.736
2013,PERU,PAITA,ASOCIACION CENTRAL CAFETALERA AGROPECUAR,ASOCIACION CENTRAL CAFETALERA AGROPECUAR,UNITED STATES,UNITED STATES,Coffee equivalents,433531.74,103.5
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,BELGIUM,EUROPEAN UNION,Coffee equivalents,243461.1,57.615
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,CANADA,CANADA,Coffee equivalents,289020,69
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,GERMANY,EUROPEAN UNION,Coffee equivalents,646880.65,152.835
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,IRELAND,EUROPEAN UNION,Coffee equivalents,66932.25,18.975
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ITALY,EUROPEAN UNION,Coffee equivalents,72408,19.32
