YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,SHRIMP_EQUIVALENT_TONNES
2017,PERU,IQUITOS,ACUARIO JAPAN DRAGON CLUB EMPRESA INDIVI,ACUARIO JAPAN DRAGON CLUB EMPRESA INDIVI,JAPAN,JAPAN,Shrimp equivalents,0.2,0.005
2018,PERU,IQUITOS,ACUARIO MILAGRITOS E I R L,ACUARIO MILAGRITOS E I R L,JAPAN,JAPAN,Shrimp equivalents,57,0.01203
2017,PERU,IQUITOS,AMAZON TROPICALS AQUARIUM EIRL,AMAZON TROPICALS AQUARIUM EIRL,CANADA,CANADA,Shrimp equivalents,10,0.005
2018,PERU,IQUITOS,AMAZON TROPICALS AQUARIUM EIRL,AMAZON TROPICALS AQUARIUM EIRL,CHILE,CHILE,Shrimp equivalents,64,0.01
2017,PERU,IQUITOS,AMAZON TROPICALS AQUARIUM EIRL,AMAZON TROPICALS AQUARIUM EIRL,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,67.5,0.01
2017,PERU,IQUITOS,AMAZON TROPICALS AQUARIUM EIRL,AMAZON TROPICALS AQUARIUM EIRL,UNITED STATES,UNITED STATES,Shrimp equivalents,26,0.015
2018,PERU,IQUITOS,AMAZON TROPICALS AQUARIUM EIRL,AMAZON TROPICALS AQUARIUM EIRL,UNITED STATES,UNITED STATES,Shrimp equivalents,152,0.031
2018,PERU,IQUITOS,BIO INDUSTRIAL AMAZONAS S.A.C.,BIO INDUSTRIAL AMAZONAS S.A.C.,UKRAINE,UKRAINE,Shrimp equivalents,50,0.005
2018,PERU,IQUITOS,FISH LIVE PERU ATA AQUARIUM S R L,FISH LIVE PERU ATA AQUARIUM S R L,CHILE,CHILE,Shrimp equivalents,80,0.02
2017,PERU,IQUITOS,FISH LIVE PERU ATA AQUARIUM S R L,FISH LIVE PERU ATA AQUARIUM S R L,UNITED STATES,UNITED STATES,Shrimp equivalents,70,0.015
2018,PERU,IQUITOS,FISH LIVE PERU ATA AQUARIUM S R L,FISH LIVE PERU ATA AQUARIUM S R L,UNITED STATES,UNITED STATES,Shrimp equivalents,200,0.04769
2017,PERU,IQUITOS,J R TROPICAL FISH AMAZON PERU EMPRESA I,J R TROPICAL FISH AMAZON PERU EMPRESA I,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,15,0.005
2018,PERU,IQUITOS,J R TROPICAL FISH AMAZON PERU EMPRESA I,J R TROPICAL FISH AMAZON PERU EMPRESA I,UNITED STATES,UNITED STATES,Shrimp equivalents,40,0.005
2017,PERU,IQUITOS,RIO MOMON E.I.R.L.,RIO MOMON E.I.R.L.,GERMANY,EUROPEAN UNION,Shrimp equivalents,150,0.01
2018,PERU,IQUITOS,RIO MOMON E.I.R.L.,RIO MOMON E.I.R.L.,GERMANY,EUROPEAN UNION,Shrimp equivalents,1100,0.04
2017,PERU,IQUITOS,RIVER LAND PERU S A C,RIVER LAND PERU S A C,CANADA,CANADA,Shrimp equivalents,80,0.01
2018,PERU,IQUITOS,RIVER LAND PERU S A C,RIVER LAND PERU S A C,GERMANY,EUROPEAN UNION,Shrimp equivalents,200,0.005
2017,PERU,IQUITOS,RIVER LAND PERU S A C,RIVER LAND PERU S A C,JAPAN,JAPAN,Shrimp equivalents,64,0.01
2018,PERU,IQUITOS,RIVER LAND PERU S A C,RIVER LAND PERU S A C,POLAND,EUROPEAN UNION,Shrimp equivalents,120,0.006
2014,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,FRANCE,EUROPEAN UNION,Shrimp equivalents,380600.62,51.6565
2015,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,FRANCE,EUROPEAN UNION,Shrimp equivalents,424992.4,66.3
2016,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,FRANCE,EUROPEAN UNION,Shrimp equivalents,720741.18,106.092
2017,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,FRANCE,EUROPEAN UNION,Shrimp equivalents,259221.62,42.28
2018,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,FRANCE,EUROPEAN UNION,Shrimp equivalents,314297.9,51.871
2017,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,NETHERLANDS,EUROPEAN UNION,Shrimp equivalents,185326.86,27.991
2013,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,416666.52,55.896
2014,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,612972.6,71.148
2015,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,416250.01,57.912
2016,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,132955.2,19.596
2017,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,209040,30.972
2013,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,SPAIN,EUROPEAN UNION,Shrimp equivalents,738521.07,108.1
2014,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,SPAIN,EUROPEAN UNION,Shrimp equivalents,474292.58,54.898
2015,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,SPAIN,EUROPEAN UNION,Shrimp equivalents,517600.29,76.906
2016,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,SPAIN,EUROPEAN UNION,Shrimp equivalents,499973.25,73.695
2017,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,SPAIN,EUROPEAN UNION,Shrimp equivalents,376666.39,58.873
2018,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,SPAIN,EUROPEAN UNION,Shrimp equivalents,438246.6,57.555
2018,PERU,PAITA,ACUACULTURA TECNICA INTEGRADA DEL PERU S,ACUACULTURA TECNICA INTEGRADA DEL PERU S,UKRAINE,UKRAINE,Shrimp equivalents,79967,10.523
2013,PERU,PAITA,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,THAILAND,THAILAND,Shrimp equivalents,274700,29.48351
2013,PERU,PAITA,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,UNITED STATES,UNITED STATES,Shrimp equivalents,4718720.59,514.52321
2014,PERU,PAITA,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,UNITED STATES,UNITED STATES,Shrimp equivalents,5109682.59,542.05685
2015,PERU,PAITA,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,UNITED STATES,UNITED STATES,Shrimp equivalents,3638382.9,466.11457
2016,PERU,PAITA,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,UNITED STATES,UNITED STATES,Shrimp equivalents,3363204.6,398.02059
2017,PERU,PAITA,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,UNITED STATES,UNITED STATES,Shrimp equivalents,3934797.82,456.22747
2018,PERU,PAITA,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA C,UNITED STATES,UNITED STATES,Shrimp equivalents,2905266.5,407.21516
2018,PERU,PAITA,ALTAMAR FOODS PERU S A C,ALTAMAR FOODS PERU S A C,ITALY,EUROPEAN UNION,Shrimp equivalents,102061,11
2014,PERU,PAITA,ALTAMAR FOODS PERU S A C,ALTAMAR FOODS PERU S A C,UNITED STATES,UNITED STATES,Shrimp equivalents,22741.8,2.41674
2018,PERU,PAITA,ALTAMAR FOODS PERU S A C,ALTAMAR FOODS PERU S A C,UNITED STATES,UNITED STATES,Shrimp equivalents,789558.77,82.73299
2015,PERU,PAITA,AQUATROPICAL S A C,AQUATROPICAL S A C,SPAIN,EUROPEAN UNION,Shrimp equivalents,335016.03,62.078
2016,PERU,PAITA,AQUATROPICAL S A C,AQUATROPICAL S A C,SPAIN,EUROPEAN UNION,Shrimp equivalents,998132.56,157.708
2017,PERU,PAITA,AQUATROPICAL S A C,AQUATROPICAL S A C,SPAIN,EUROPEAN UNION,Shrimp equivalents,930013.3,149.89
2018,PERU,PAITA,AQUATROPICAL S A C,AQUATROPICAL S A C,SPAIN,EUROPEAN UNION,Shrimp equivalents,912779.7,160.938
2013,PERU,PAITA,AQUATROPICAL S A C,AQUATROPICAL S A C,UNITED STATES,UNITED STATES,Shrimp equivalents,211304.5,19.165
2014,PERU,PAITA,AQUATROPICAL S A C,AQUATROPICAL S A C,UNITED STATES,UNITED STATES,Shrimp equivalents,481152.3,56.098
2015,PERU,PAITA,AQUATROPICAL S A C,AQUATROPICAL S A C,UNITED STATES,UNITED STATES,Shrimp equivalents,467292.04,67.4575
2016,PERU,PAITA,ARMADORES Y CONGELADORES DEL PACIFICO SA,ARMADORES Y CONGELADORES DEL PACIFICO SA,FRANCE,EUROPEAN UNION,Shrimp equivalents,1.5,0.0015
2016,PERU,PAITA,ARMADORES Y CONGELADORES DEL PACIFICO SA,ARMADORES Y CONGELADORES DEL PACIFICO SA,NETHERLANDS,EUROPEAN UNION,Shrimp equivalents,256212.12,42.7441
2015,PERU,PAITA,ARMADORES Y CONGELADORES DEL PACIFICO SA,ARMADORES Y CONGELADORES DEL PACIFICO SA,UNITED STATES,UNITED STATES,Shrimp equivalents,94210,16.55612
2016,PERU,PAITA,ARMADORES Y CONGELADORES DEL PACIFICO SA,ARMADORES Y CONGELADORES DEL PACIFICO SA,UNITED STATES,UNITED STATES,Shrimp equivalents,101614,18.14369
2017,PERU,PAITA,CCORAL S A,CCORAL S A,FRANCE,EUROPEAN UNION,Shrimp equivalents,136213.4,22.2
2017,PERU,PAITA,CCORAL S A,CCORAL S A,NETHERLANDS,EUROPEAN UNION,Shrimp equivalents,155198.13,23.783
2018,PERU,PAITA,CCORAL S A,CCORAL S A,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,111258,15.351
2017,PERU,PAITA,CCORAL S A,CCORAL S A,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,44160,6.9
2018,PERU,PAITA,CCORAL S A,CCORAL S A,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,379686,54.072
2013,PERU,PAITA,CCORAL S A,CCORAL S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,2720779.47,386.947
